type,dataset,n,p,lam_fpc,lam_lasso,lam_scale,diff_lam_fpc,violation
survival,mgus,1384,7,0.507362116361472,0.0222793635756769,0.0210994315574468,-0.0536851877728722,FALSE
survival,mgus,1384,7,0.459076352315874,0.0202808641088028,0.0183006950615477,-0.0482857640455983,FALSE
survival,mgus,1384,7,0.415603336506528,0.0184616336818871,0.0157530103237466,-0.0434730158093455,FALSE
survival,mgus,1384,7,0.37642779411068,0.01680559153573,0.0134338575443635,-0.0391755423958483,FALSE
survival,mgus,1384,7,0.341127819758004,0.0152980993845032,0.0113227369907419,-0.0352999743526761,FALSE
survival,mgus,1384,7,0.309235985040556,0.0139258320232625,0.00940098779355916,-0.0318918347174478,FALSE
survival,mgus,1384,7,0.280450884110571,0.0126766595422024,0.0076516229974384,-0.0287851009299844,FALSE
survival,mgus,1384,7,0.254409707814632,0.0115395401065065,0.0060591794078207,-0.0260411762959398,FALSE
survival,mgus,1384,7,0.230861645785305,0.0105044223540406,0.00460958090684605,-0.0235480620293267,FALSE
survival,mgus,1384,7,0.209528347243583,0.00956215654814971,0.00329001403004858,-0.0213332985417214,FALSE
survival,mgus,1384,7,0.190229354384269,0.00870441370021185,0.00208881470404883,-0.0192989928593146,FALSE
survival,mgus,1384,7,0.172751950635505,0.00792361194704522,0.000995365144081024,-0.0174774037487642,FALSE
survival,mgus,1384,7,0.156901795156268,0.00721284953239638,0,-0.0158501554792367,FALSE
survival,ovarian,26,4,3.00781727850858,0.389262638265723,1,,
survival,ovarian,26,4,2.79682828288381,0.354345071055797,0.908839744321561,-0.21098899562477,FALSE
survival,ovarian,26,4,2.58862433994161,0.322559673183499,0.825856729512443,-0.208203942942196,FALSE
survival,ovarian,26,4,2.38700056883066,0.293625483357893,0.750317442181998,-0.201623771110955,FALSE
survival,ovarian,26,4,2.19450632152591,0.267286743027265,0.681554166425904,-0.192494247304746,FALSE
survival,ovarian,26,4,2.01272465372749,0.243310635647533,0.618959081671867,-0.181781667798418,FALSE
survival,ovarian,26,4,1.84248321150115,0.221485228742407,0.561978889959321,-0.170241442226341,FALSE
survival,ovarian,26,4,1.68406384859439,0.201617600564489,0.510109925161902,-0.15841936290676,FALSE
survival,ovarian,26,4,1.53943303866043,0.183532134798291,0.462893700921584,-0.14463080993396,FALSE
survival,ovarian,26,4,1.40757007219258,0.167068968231491,0.419912857941218,-0.131862966467856,FALSE
survival,ovarian,26,4,1.2826298847421,0.152082577672905,0.38078747481231,-0.124940187450478,FALSE
survival,ovarian,26,4,1.16561677500575,0.138440493626484,0.345171709768263,-0.117013109736344,FALSE
survival,ovarian,26,4,1.05706582661366,0.126022129351107,0.312750743678462,-0.108550948392092,FALSE
survival,ovarian,26,4,0.957128350013089,0.114717714955828,0.28323799726136,-0.0999374766005717,FALSE
survival,ovarian,26,4,0.865673644398142,0.104427327108729,0.256372597918614,-0.0914547056149477,FALSE
survival,ovarian,26,4,0.782372812885193,0.0950600057826513,0.231917073798805,-0.0833008315129484,FALSE
survival,ovarian,26,4,0.706769148455228,0.0865329502304413,0.209655254707848,-0.075603664429965,FALSE
survival,ovarian,26,4,0.638333204178759,0.078770787082685,0.18939036131155,-0.0684359442764693,FALSE
survival,ovarian,26,4,0.576503695239581,0.0717049040984032,0.170943265740185,-0.0618295089391782,FALSE
survival,ovarian,26,4,0.52071639169626,0.0652728436795245,0.15415090822,-0.0557873035433211,FALSE
survival,ovarian,26,4,0.47042345026444,0.0594177507882131,0.138864855735758,-0.05029294143182,FALSE
survival,ovarian,26,4,0.425105495588359,0.0540878703870178,0.124949989983876,-0.0453179546760806,FALSE
survival,ovarian,26,4,0.384577520737915,0.0492360899595543,0.112283313018549,-0.0405279748504441,FALSE
survival,ovarian,26,4,0.348817883255736,0.0448195230679147,0.100752860033601,-0.0357596374821791,FALSE
survival,ovarian,26,4,0.316408026532668,0.0407991302657357,0.0902567096697747,-0.032409856723068,FALSE
survival,ovarian,26,4,0.287041758684126,0.0371393740160546,0.0807020830992598,-0.0293662678485425,FALSE
survival,ovarian,26,4,0.260436458513335,0.0338079045636616,0.0720045239239825,-0.0266053001707908,FALSE
survival,ovarian,26,4,0.236333099259841,0.0307752739852741,0.0640871516385082,-0.0241033592534941,FALSE
survival,ovarian,26,4,0.214495205541826,0.0280146758899308,0.056879982058682,-0.0218378937180143,FALSE
survival,ovarian,26,4,0.194707839547951,0.0255017084687338,0.0503193087090568,-0.0197873659938758,FALSE
survival,ovarian,26,4,0.176775720322549,0.0232141587994612,0.0443471397009954,-0.0179321192254013,FALSE
survival,ovarian,26,4,0.160521989234098,0.0211318064994474,0.0389106851238311,-0.0162537310884517,FALSE
survival,ovarian,26,4,0.145786619450353,0.0192362449911582,0.0339618904179751,-0.0147353697837446,FALSE
